No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
121,Nb2TiVZr2Hf,1975,95.42857,127.9429,41.9,0.362857,150.4,75.28571,136.5714,11.72857,3.171429,6.465714,4.428571,1.714286,4.175714,1.485714,1.361429,1.895714,1.271429,6.32,0.233504,0.266567,0.173393,0.078937,0.058562,0.076374,0.058297,0.170062,0.039398,0.204892,0.111745,0.263523,0.038164,0.075712,0.07728,0.099003,0.062841,0.150467,0.020729,0.028183,0.015064,0.002938,0.001465,0.002518,0.001525,0.010835,0.000828,0.024804,0.003419,0.045635,0.000496,0.002219,0.003101,0.00413,0.002666,0.011142
122,Mo0.5Nb0.5TiZrHf,2532,119.75,130.7375,54.5375,0.34625,151.95,76,138.125,12.05125,3.16875,6.8175,4.375,1.75,4.1825,1.475,1.325,1.81875,1.25875,6.18375,0.678889,0.417903,0.513229,0.084124,0.049071,0.064795,0.04712,0.144379,0.043883,0.227622,0.159079,0.247436,0.055195,0.105847,0.079514,0.063495,0.03404,0.140333,0.381426,0.117563,0.212047,0.002931,0.00063,0.002748,0.000508,0.005388,0.000976,0.029478,0.015408,0.017857,0.001147,0.005997,0.003873,0.001558,0.000527,0.011601
123,Nb0.5TiZrHfTa0.5,1143,101.875,122.625,47.4875,0.35,152.7875,76.25,138.75,12.235,3.15,7.13625,4.25,1.875,4.13875,1.4375,1.30875,1.81875,1.2625,6.34375,0.362674,0.29729,0.239535,0.074231,0.041648,0.064499,0.041831,0.123471,0.033672,0.251568,0.101885,0.176383,0.041962,0.06902,0.069343,0.063495,0.037519,0.168002,0.085119,0.042036,0.025737,0.002449,0.000396,0.002915,0.000445,0.003719,0.000283,0.02587,0.003028,0.026667,0.000742,0.002117,0.003211,0.001558,0.000436,0.013807
124,MoNbTiZrHfTa,3728,147,155.8333,61.48333,0.346667,149.65,76.16667,136.3333,11.52667,3.225,7.273333,4.666667,1.666667,4.238333,1.516667,1.346667,1.866667,1.271667,6.671667,0.610807,0.386385,0.502599,0.0876,0.047477,0.053286,0.044145,0.14262,0.044531,0.222853,0.159719,0.282843,0.052146,0.10367,0.071697,0.063361,0.036155,0.155034,0.248068,0.07476,0.179923,0.003883,0.000768,0.001896,0.000625,0.007224,0.000721,0.018691,0.012755,0.02,0.001212,0.005796,0.003198,0.001327,0.000268,0.012343
125,NbTiVTa,2162,133.75,158.25,49.75,0.3575,143.575,71.75,130.5,10.16,3.2625,6.5075,4.75,1.75,4.295,1.55,1.415,2.0125,1.3325,6.4575,0.2336,0.201769,0.236745,0.084786,0.036125,0.074649,0.038122,0.10487,0.019909,0.291095,0.091161,0.247436,0.006688,0.032258,0.050097,0.066607,0.058704,0.216751,0.037691,0.024807,0.037272,0.003228,0.000893,0.00153,0.001028,0.007642,0.000264,0.053713,0.00554,0.040816,2.71E-05,2.01E-18,0.001648,0.002639,0.001943,0.008754
126,MoNbTiZr,4095,154.5,157.425,60.925,0.3425,148.3,75,135,11.2175,3.225,6.2375,4.75,1.5,4.32,1.575,1.395,1.8825,1.2675,6.3725,0.662166,0.425073,0.616252,0.101929,0.049684,0.058878,0.044752,0.152556,0.052002,0.134604,0.174559,0.333333,0.045094,0.093906,0.038769,0.064447,0.034106,0.156281,0.30339,0.106965,0.265905,0.007033,0.001584,0.002,0.001358,0.015306,0.001082,0.012621,0.01662,0,0.001049,0.005039,0.000694,0.002314,0.000265,0.014178
127,MoNbTiV0.25Zr,4739,152.9412,157.4588,60.08824,0.344118,147.4941,74.41176,134.2353,11.04706,3.229412,6.163529,4.764706,1.529412,4.318824,1.576471,1.402941,1.902353,1.278235,6.31,0.650223,0.412294,0.608731,0.100201,0.053164,0.065684,0.049252,0.162462,0.050676,0.140602,0.169275,0.326357,0.043773,0.091094,0.043719,0.074635,0.046958,0.158159,0.310237,0.102135,0.276766,0.006171,0.001741,0.001732,0.001512,0.01695,0.001159,0.010672,0.015672,0.022624,0.000996,0.004717,0.000816,0.00257,0.000994,0.012575
128,MoNbTiV0.5Zr,4365,151.5556,157.4889,59.34444,0.345556,146.7778,73.88889,133.5556,10.89556,3.233333,6.097778,4.777778,1.555556,4.317778,1.577778,1.41,1.92,1.287778,6.254444,0.638793,0.400602,0.60122,0.098478,0.055682,0.070597,0.052485,0.170037,0.049442,0.145093,0.164443,0.319438,0.042562,0.08852,0.047044,0.081246,0.054637,0.159335,0.301943,0.096368,0.271951,0.005459,0.001858,0.001558,0.001629,0.018266,0.00111,0.009016,0.014302,0.019274,0.000948,0.004386,0.000805,0.002894,0.001743,0.011205
129,MoNbTiV0.75Zr,4566,150.3158,157.5158,58.67895,0.346842,146.1368,73.42105,132.9474,10.76,3.236842,6.038947,4.789474,1.578947,4.316842,1.578947,1.416316,1.935789,1.296316,6.204737,0.62786,0.389851,0.593774,0.096784,0.057527,0.074248,0.054867,0.175904,0.04829,0.148468,0.160002,0.312694,0.041446,0.086152,0.049356,0.085728,0.059765,0.15998,0.294008,0.091217,0.267241,0.004863,0.00195,0.00198,0.00172,0.019316,0.001067,0.007602,0.013144,0.017076,0.000904,0.004098,0.001013,0.003403,0.002218,0.010182
130,MoNbTiVZr,4831,149.2,157.54,58.08,0.348,145.56,73,132.4,10.638,3.24,5.986,4.8,1.6,4.316,1.58,1.422,1.95,1.304,6.16,0.6174,0.379922,0.586433,0.095132,0.058883,0.077005,0.056641,0.180478,0.047213,0.150994,0.155902,0.306186,0.040414,0.083965,0.050983,0.088823,0.063349,0.16022,0.286412,0.086589,0.262619,0.00436,0.002019,0.002252,0.001809,0.020214,0.001029,0.006387,0.012153,0.015625,0.000864,0.003846,0.001139,0.003829,0.002505,0.010436
